video_path,voltage,peak_intensity,peak_timestamp
video_2025-04-09_22-40-39.mp4,1,153.35176649305555,188.37000838930774
video_2025-04-09_22-40-39.mp4,2,135.85366801697532,203.58466938999317
video_path,voltage,peak_intensity,peak_timestamp
video_2025-04-09_22-40-35.mp4,1,54.61392264660494,4.249438595598525
video_2025-04-09_22-40-35.mp4,2,99.78725019290124,326.4152097697494
video_path,voltage,delta_brightness,peak_timestamp
video_2025-04-09_22-40-39.mp4,1,6.728419656635808,2.7928281836874573
video_2025-04-09_22-40-39.mp4,2,2.8831843171296327,158.6493144345442
video_2025-04-09_22-40-39.mp4,3,8.507182677469132,159.4829944893763
video_2025-04-09_22-40-39.mp4,4,8.109197530864193,159.6080464976011
video_2025-04-09_22-40-39.mp4,5,1.7906008873456756,161.8589826456477
video_2025-04-09_22-40-39.mp4,6,14.409330632716049,163.15118673063742
video_2025-04-09_22-40-39.mp4,7,8.791440007716048,180.95025590130228
video_2025-04-09_22-40-39.mp4,8,5.855825617283955,181.70056795065113
video_2025-04-09_22-40-39.mp4,9,8.628904320987644,183.5346640712817
video_2025-04-09_22-40-39.mp4,10,2.4829181134259315,184.28497612063057
video_2025-04-09_22-40-39.mp4,11,2.1376798804012367,184.36834412611378
video_2025-04-09_22-40-39.mp4,12,12.895371334876543,184.57676413982182
video_2025-04-09_22-40-39.mp4,13,1.8009833140432079,184.82686815627142
video_2025-04-09_22-40-39.mp4,14,3.974011863425929,187.57801233721727
video_2025-04-09_22-40-39.mp4,15,3.8937041859567927,187.66138034270048
video_2025-04-09_22-40-39.mp4,16,3.2264052854938257,187.7447483481837
video_2025-04-09_22-40-39.mp4,17,1.8392394868827182,187.8281163536669
video_2025-04-09_22-40-39.mp4,18,13.004852912808644,188.20327237834135
video_2025-04-09_22-40-39.mp4,19,3.4515407986111057,189.49547646333107
video_2025-04-09_22-40-39.mp4,20,3.4660995370370387,189.57884446881425
video_2025-04-09_22-40-39.mp4,21,1.9723331404320987,194.2474527758739
video_2025-04-09_22-40-39.mp4,22,1.7162239583333303,197.12364896504457
video_2025-04-09_22-40-39.mp4,23,1.8434953703703698,203.25119736806033
video_2025-04-09_22-40-39.mp4,24,65.29766396604938,203.45961738176834
video_2025-04-09_22-40-39.mp4,25,4.881842206790125,210.00400581220015
video_2025-04-09_22-40-39.mp4,26,2.9447690007716005,210.08737381768336
video_2025-04-09_22-40-39.mp4,27,3.44838300540124,210.21242582590816
video_2025-04-09_22-40-39.mp4,28,7.561739004629629,210.46252984235778
video_2025-04-09_22-40-39.mp4,29,2.5233121141975303,279.6996583961618
video_2025-04-09_22-40-39.mp4,30,3.8945298032407294,279.9080784098698
video_2025-04-09_22-40-39.mp4,31,2.142279610339507,286.7025708567512
